Time,BPM,RR_ms,HRV_RMSSD
1768126566,114.9078735,522.1574306,0
1768126566,116.4544225,515.2230263,6.934404373
1768126567,109.7325604,546.7839241,22.84924764
1768126567,106.2171799,564.8803711,21.38268481
1768126568,106.8109951,561.7399216,18.58440242
1768126568,109.0883177,550.0130653,17.43008439
1768126569,106.7556261,562.0312691,16.65070785
1768126570,99.81063372,601.1383533,21.35696765
1768126570,89.95527226,666.998148,30.68051706
1768126571,96.4002827,622.4048138,32.5216483
1768126571,105.0727364,571.0330009,34.86829739
1768126572,106.9502146,561.0086918,33.38272335
1768126572,107.7620107,556.7824841,31.98480008
1768126573,104.8551971,572.2177029,31.0267567
1768126574,104.4401874,574.4915009,29.90430615
1768126574,108.903784,550.9450436,29.52307687
1768126575,104.4624273,574.3691921,29.17926464
1768126575,100.7772146,595.3726768,28.76273951
1768126576,97.53375007,615.1716709,28.33923301
1768126577,89.72643337,668.6992645,30.19343042
1768126577,98.71474589,607.8119278,32.42567605
1768126578,102.6192183,584.6858025,32.04409686
1768126578,99.63186706,602.216959,31.52967467
1768126579,101.5154574,591.0429955,30.92452659
1768126580,105.5712174,568.3367252,30.62616027
1768126580,112.6300092,532.7177048,30.84139767
1768126581,115.5724149,519.1550255,30.3592221
1768126581,110.1355237,544.7833538,30.19722377
1768126582,107.3348892,558.9981079,29.77451689
1768126582,102.8992557,583.0945969,29.59686187
1768126583,103.0660121,582.1511745,29.09990996
1768126584,95.09930211,630.9194565,29.9367549
1768126584,72.03162017,832.9675198,46.30264166
1768126585,76.34963316,785.8583927,46.32728689
1768126586,90.41991336,663.5706425,50.22873319
1768126587,85.06651974,705.3303719,50.00667004
1768126587,81.05185861,740.2667999,49.64985753
1768126588,84.08876195,713.5317326,49.17114748
1768126589,89.59274994,669.6970463,49.03815492
1768126589,91.82908126,653.387785,48.47577673
1768126590,87.72535073,683.9528084,48.10934341
1768126591,83.85594776,715.5127525,47.77395632
1768126591,92.19797314,650.7735252,48.2472685
1768126592,98.10919959,611.5634441,48.05640702
1768126593,93.31033002,643.0156231,47.74321098
1768126593,88.64557935,676.8527031,47.47845653
1768126594,83.82832229,715.7485485,47.30843737
1768126595,93.42693169,642.2131062,48.01584858
1768126595,89.13762306,673.1164455,47.72196756
1768126596,83.37905198,719.6052074,47.69711881
1768126597,82.16572151,730.2315235,47.71098676
1768126597,86.31465799,695.1310635,47.76142382
1768126598,90.90520413,660.0282192,47.95432668
1768126599,86.7668852,691.5080547,48.16264378
1768126600,88.8775938,675.085783,48.19063852
1768126600,91.27699094,657.3398113,48.22672362
1768126601,102.0022179,588.2225037,48.90909203
1768126601,97.8174727,613.3873463,48.13005799
1768126602,100.6459044,596.1494446,47.77011307
1768126603,93.18414977,643.8863277,47.69309801
1768126603,91.09902772,658.6239338,47.71806198
1768126604,97.6044506,614.7260666,48.12458756
1768126605,98.12656723,611.4552021,48.0763154
1768126605,84.22528329,712.375164,50.19044172
1768126606,80.05665019,749.4692802,50.35718934
1768126607,90.89899832,660.0732803,51.84345224
1768126607,93.12563278,644.2909241,51.80563555
1768126608,91.0712033,658.8251591,51.77002002
1768126609,91.11007648,658.5440636,51.20217817
1768126609,93.41656223,642.2843933,50.51138456
1768126610,97.92816242,612.694025,50.58017897
1768126611,92.75609833,646.8577385,50.75334283
1768126611,90.12485277,665.7431126,50.79992538
1768126612,82.03835742,731.3652039,51.55573023
1768126613,93.22588413,643.5980797,52.81388696
1768126613,87.52459408,685.5216026,53.11705626
1768126614,85.93720045,698.1842518,53.02159612
1768126615,84.94993637,706.2983513,52.99537378
1768126615,91.05976857,658.9078903,53.31504124
1768126616,94.8771915,632.3964596,53.44922317
1768126617,95.30386414,629.565239,52.99476753
1768126617,91.49887816,655.7457447,44.6015976
1768126618,93.04719684,644.8340416,44.11849034
1768126618,98.14110876,611.364603,40.79353885
1768126619,95.3660911,629.1544437,40.43491399
1768126620,83.12432865,721.8103409,42.25256724
1768126621,75.83093855,791.233778,43.23253269
1768126621,89.77857721,668.3108807,46.24074121
1768126622,100.5110017,596.9495773,47.29381563
1768126623,97.13031671,617.7268028,47.18526605
1768126623,98.94089335,606.4226627,46.99712774
1768126624,106.3194032,564.3372536,46.46872657
1768126624,103.3310134,580.6581974,46.18877142
1768126625,106.2783646,564.5551682,46.02723143
1768126625,103.2546999,581.0873508,45.83358557
1768126626,106.8987424,561.27882,45.58344038
1768126627,110.6359789,542.3190594,44.4390578
1768126627,115.8594172,517.8689957,44.35695935
1768126628,112.0376245,535.5343819,43.92951525
1768126628,118.6270913,505.7866573,44.10847522
1768126629,116.9217303,513.163805,43.83519733
1768126629,115.3545254,520.1356411,43.55880345
1768126630,112.6209366,532.7606201,43.36355768
1768126630,115.8714199,517.8153515,43.35265419
1768126631,115.912568,517.6315308,43.27847486
1768126631,112.619727,532.7663422,42.1925018
