Time,BPM,RR_ms,HRV_RMSSD
1768127151,105.5334538,568.5400963,0
1768127151,103.4198486,580.1594257,11.61932945
1768127152,108.6189381,552.3898602,21.28564762
1768127152,115.7774386,518.2356834,26.28475716
1768127153,117.4639265,510.7951164,23.06527376
1768127153,117.7570508,509.5236301,20.63804299
1768127154,117.8093653,509.2973709,18.84009592
1768127154,125.1122269,479.5694351,20.74830613
1768127155,122.1417818,491.2323952,19.8414657
1768127155,117.3134537,511.4502907,19.88364316
1768127156,113.8732282,526.901722,19.48584131
1768127157,98.88592047,606.7597866,30.41275242
1768127157,92.43682527,649.091959,31.57834625
1768127158,98.52232702,608.9990139,32.31306912
1768127158,97.51220849,615.3075695,31.18326651
1768127159,105.8588037,566.7927265,32.62640601
1768127160,110.3405604,543.7710285,32.11038978
1768127160,116.5596551,514.7578716,31.93651551
1768127161,114.6124051,523.5035419,31.10509438
1768127161,109.0819815,550.0450134,30.88172159
1768127162,109.9024427,545.9387302,30.11378041
1768127162,109.0887433,550.0109196,29.40147237
1768127163,115.6115982,518.9790726,29.47753664
1768127163,110.8003295,541.5146351,29.21003791
1768127164,110.3902683,543.5261726,28.59796869
1768127164,106.6938908,562.356472,28.27212882
1768127165,112.193263,534.7914696,28.245259
1768127165,111.4271596,538.4683609,27.7262949
1768127166,112.3930883,533.8406563,27.24072335
1768127167,112.2585238,534.4805717,26.76719926
1768127167,115.6556447,518.7814236,26.47292263
1768127168,117.7632225,509.4969273,26.09577327
1768127168,117.1147846,512.3178959,25.68963113
1768127169,119.0884178,503.8273335,25.34054026
1768127169,119.7853502,500.895977,24.97016527
1768127170,117.8772945,509.0038776,24.6489926
1768127170,116.2784715,516.002655,24.33221011
1768127171,115.7143547,518.5182095,24.00470684
1768127171,118.3751549,506.8631172,23.76208908
1768127172,119.3796918,502.5980473,23.46540944
1768127172,111.863867,536.3662243,23.77744832
1768127173,116.2686941,516.0460472,23.69912602
1768127173,114.2532648,525.149107,23.45738651
1768127174,109.6575389,547.1580029,23.42471798
1768127174,111.7157359,537.0774269,23.20681069
1768127175,114.1522055,525.6140232,23.01104873
1768127175,117.7377685,509.6070766,22.88159442
1768127176,113.646602,527.9524326,22.79447992
1768127176,115.452164,519.6957588,22.5872491
1768127177,123.1060149,487.3847961,22.82713288
1768127177,119.414473,502.4516582,22.868222
1768127178,122.718333,488.9245033,22.6042521
1768127178,121.0642724,495.6045151,22.09200299
1768127179,117.9054604,508.8822842,22.14779222
1768127179,119.8133515,500.7789135,22.17728119
1768127180,123.5253718,485.7301712,22.2812137
1768127180,119.5853875,501.7335415,21.99189526
1768127181,118.6540503,505.6717396,21.93590579
1768127181,119.8689368,500.5466938,21.7572493
1768127182,119.0262913,504.0903091,21.65090725
1768127182,116.7301236,514.0061378,18.45587159
1768127183,114.8545915,522.3996639,17.47813741
1768127184,105.6409718,567.9614544,17.74951082
1768127184,93.04076394,644.8786259,20.85600045
1768127185,97.63084297,614.5598888,20.14194567
1768127185,103.1376085,581.7470551,20.41702185
1768127186,99.37841263,603.7528515,20.23755656
1768127187,96.75471512,620.1248169,20.33391185
1768127187,103.0776635,582.085371,20.7031893
1768127188,111.100916,540.0495529,21.54853504
1768127188,112.3691499,533.9543819,21.55827278
1768127189,109.8822401,546.0391045,21.16806515
1768127189,106.5249372,563.2483959,21.06577177
1768127190,102.3359151,586.3044262,21.31977358
1768127190,108.4159002,553.4243584,21.66470995
1768127191,108.908874,550.9192944,21.30682998
1768127192,114.2462108,525.1815319,21.61536777
1768127192,105.2414683,570.1174736,22.53876718
1768127193,102.3822947,586.0388279,22.65305553
1768127193,111.4895069,538.1672382,23.55632033
1768127194,111.5337797,537.9536152,23.51896973
1768127194,105.2185874,570.2414513,23.96362099
1768127195,99.84536279,600.9292603,24.33111445
1768127196,106.7594756,562.0110035,24.95473095
1768127196,109.7662555,546.6160774,25.02466414
1768127197,105.0591384,571.1069107,25.24826726
1768127198,71.55541276,838.5109901,45.78897663
1768127198,92.53029059,648.4363079,53.2087595
1768127199,97.22450418,617.1283722,53.39292706
1768127199,92.25441663,650.3753662,53.3862516
1768127200,90.2393191,664.898634,53.34763099
1768127201,94.75401849,633.2185268,53.5234605
1768127201,102.5648483,584.9957466,53.87330667
1768127202,108.2880294,554.0778637,54.0348759
1768127202,105.3537283,569.5099831,54.05502932
1768127203,108.1454934,554.8081398,54.04746316
1768127204,99.75101313,601.4976501,54.39437315
1768127204,96.93136105,618.9947128,54.43899755
1768127205,100.103995,599.3766785,54.31530908
1768127205,99.76101745,601.4373302,54.27344281
1768127206,102.50206,585.3540897,54.28767099
1768127207,105.2659882,569.9846745,54.32367211
1768127207,94.71628762,633.4707737,55.04287603
1768127208,67.62023527,887.3083591,65.90408105
1768127209,86.17122602,696.2881088,71.29792601
1768127209,99.59913896,602.4148464,72.51212424
1768127210,102.3783796,586.0612392,72.54756793
1768127211,105.3174423,569.7062016,72.58148864
1768127211,105.3121977,569.7345734,72.57972334
1768127212,102.4841524,585.4563713,72.60064753
1768127212,105.2248787,570.2073574,72.6234246
1768127213,102.2974362,586.5249634,72.36871515
1768127214,90.32025404,664.3028259,72.38748628
1768127214,82.28847666,729.142189,72.84907204
1768127215,92.57723039,648.1075287,73.61403921
1768127216,90.24022513,664.8919582,73.58595885
1768127216,92.41150323,649.2698193,73.58263211
1768127217,99.66781388,601.9997597,73.69175219
1768127217,99.74856179,601.5124321,73.44670013
1768127218,105.2144963,570.2636242,73.57708814
1768127219,97.33453284,616.4307594,73.85191622
1768127219,102.3445717,586.2548351,73.93676251
1768127220,105.209086,570.2929497,73.89855138
1768127220,111.3426112,538.8772488,73.88554943
1768127221,108.282345,554.1069508,73.91670916
1768127221,108.2192972,554.4297695,73.82521921
1768127222,111.5062533,538.0864143,73.58264172
1768127222,118.4012195,506.7515373,73.68358136
1768127223,114.9783278,521.8374729,73.39717705
1768127224,111.2791979,539.1843319,73.43899345
1768127224,108.0006437,555.5522442,73.3312872
1768127225,105.3290352,569.6434975,73.22780059
1768127225,111.5910505,537.6775265,73.15909708
1768127226,114.959472,521.9230652,73.16065912
1768127226,111.4524258,538.3462906,73.11460692
1768127227,108.3177659,553.9257526,62.38120456
1768127227,108.1127394,554.9762249,56.16158141
1768127228,108.2907321,554.0640354,55.9833582
1768127228,111.3939165,538.629055,55.82508385
1768127229,108.3934391,553.5390377,55.82716434
1768127230,111.6279763,537.4996662,55.69057626
1768127230,114.7091047,523.0622292,55.30132245
1768127231,114.8907193,522.2353935,55.12478333
1768127231,111.4258769,538.4745598,55.12951455
1768127232,108.1343409,554.8653603,55.13923369
1768127232,108.2601721,554.220438,54.73440977
1768127233,114.7575942,522.8412151,54.86075759
1768127233,111.4228675,538.4891033,54.83470944
1768127234,111.3395571,538.8920307,54.83394946
1768127234,105.3910985,569.3080425,54.95783204
1768127235,111.4363864,538.4237766,55.09091202
1768127235,111.477259,538.226366,54.3392546
1768127236,104.4440884,574.4700432,40.79942459
1768127237,112.2071696,534.7251892,30.85713514
1768127237,111.3133573,539.0188694,27.79745362
1768127238,111.45287,538.3441448,27.69927346
1768127238,108.1667824,554.6989441,27.69927058
1768127239,105.2223269,570.2211857,27.78788795
1768127239,111.5914958,537.6753807,28.08450209
1768127240,108.2794564,554.1217327,28.09828729
1768127240,108.3304951,553.8606644,28.00144952
1768127241,111.5422825,537.9126072,25.80338619
1768127242,114.849874,522.4211216,24.18498663
1768127242,114.7052879,523.0796337,21.23463804
1768127243,111.5319013,537.9626751,21.20568399
1768127243,111.6886649,537.2076035,21.0881965
1768127244,112.6164512,532.7818394,19.98776074
1768127244,110.3252746,543.8463688,20.05004184
1768127245,102.5376849,585.1507187,20.4179623
1768127245,99.72120979,601.6774178,19.46713266
1768127246,105.186527,570.4152584,19.50208239
1768127246,111.3630587,538.7783051,19.88864135
1768127247,105.30453,569.7760582,19.87525336
1768127248,102.3905425,585.991621,19.89116293
1768127248,111.5278483,537.9822254,21.04031971
1768127249,108.408381,553.4627438,21.02699859
1768127249,111.6022345,537.6236439,20.66921273
1768127250,108.2549097,554.2473793,20.69327235
1768127250,189.7879407,316.1423206,39.73778081
1768127251,118.5959528,505.9194565,48.04821615
1768127251,118.3217805,507.0917606,48.0063205
1768127252,122.3556868,490.3736115,47.84827355
1768127252,122.1280893,491.2874699,47.79549096
1768127253,122.2382492,490.8447266,47.73791386
1768127253,122.2703201,490.7159805,47.68600734
1768127254,118.3555026,506.947279,47.74211358
1768127254,114.9301764,522.0561028,47.79070132
1768127255,118.1285557,507.9212189,47.78249228
1768127255,118.2191744,507.5318813,47.73502668
1768127256,114.5803124,523.6501694,47.73556917
1768127256,111.2814615,539.1733646,47.74252236
1768127257,114.5056036,523.9918232,47.79161167
1768127257,118.2992542,507.1883202,47.7955929
1768127258,122.223526,490.9038544,47.79485111
1768127258,122.2054237,490.976572,47.79476344
1768127259,122.2099339,490.9584522,47.58407723
1768127259,126.133164,475.6877422,47.58157637
1768127260,130.7808084,458.7829113,47.64278754
1768127260,130.7230647,458.9855671,47.44423845
1768127261,126.4244527,474.591732,47.29122688
1768127261,126.3385803,474.9143124,47.29124092
1768127262,122.0767256,491.4941788,47.06658327
1768127262,122.3232144,490.503788,46.72307196
1768127263,124.5701518,481.6563129,46.73613935
1768127263,128.3981094,467.2966003,46.78103912
1768127264,118.4264039,506.6437721,47.05956623
1768127264,118.5014635,506.3228607,47.00731574
1768127265,115.0667013,521.4366913,46.82662276
1768127265,118.5033607,506.3147545,46.81751108
1768127266,121.2215495,494.9615002,46.84558134
1768127266,115.6803127,518.6707973,46.91257747
1768127267,108.2763816,554.1374683,47.13346334
1768127267,104.1268896,576.2200356,47.23882247
1768127268,106.333554,564.2621517,47.22185959
1768127268,118.3163289,507.1151257,47.92223922
1768127269,118.3960948,506.7734718,47.91809316
1768127269,122.080871,491.4774895,47.94184023
1768127270,122.0334525,491.6684628,47.57734183
1768127270,122.2908186,490.6337261,47.5189561
1768127271,118.4156491,506.6897869,47.36419528
1768127271,122.3459908,490.4124737,47.20537777
1768127272,120.4833924,497.9939461,47.00969393
1768127272,124.1628545,483.2363129,46.99989104
1768127273,122.1535799,491.1849499,46.51064765
1768127273,122.3868075,490.2489185,46.45823373
1768127274,114.8050773,522.6249695,46.63303073
1768127274,110.4766253,543.1013107,46.66429613
1768127275,111.1874064,539.6294594,31.94967501
1768127276,114.4559733,524.2190361,17.04760729
1768127276,111.5660182,537.7981663,17.1568058
1768127277,108.3783147,553.6162853,17.13938039
1768127277,105.2576228,570.029974,17.29853933
1768127278,108.212224,554.4660091,17.44073034
1768127278,111.2060278,539.5390987,17.57059856
1768127279,118.6554489,505.6657791,18.07666072
1768127279,122.346883,490.4088974,18.07919842
1768127280,118.405509,506.7331791,18.11679827
1768127280,118.2847417,507.2505474,18.11686365
1768127281,111.4477369,538.3689404,18.51164656
1768127281,111.4257782,538.4750366,18.37834435
1768127282,114.7157454,523.03195,18.382791
1768127282,118.6482324,505.6965351,18.39286804
1768127283,114.7406941,522.9182243,18.41028156
1768127283,115.0528659,521.4993954,18.41139436
1768127284,111.5444579,537.9021168,18.5599094
1768127285,111.5217198,538.0117893,18.43126174
1768127285,118.5804735,505.9854984,18.83644376
1768127286,118.1851969,507.6777935,18.83797286
1768127286,116.2637523,516.0679817,18.74394309
1768127287,120.0708808,499.7048378,18.8890872
1768127287,112.8076738,531.8787098,19.29542043
1768127288,111.9561319,535.9241962,19.30355487
1768127288,114.4626368,524.1885185,19.3349544
1768127289,120.9837801,495.934248,19.64495318
1768127289,123.2298935,486.894846,18.86785191
1768127290,118.834464,504.9040318,19.04239295
1768127290,117.7905069,509.3789101,18.93038827
1768127291,115.2967609,520.3962326,18.87246608
1768127291,117.5086827,510.6005669,18.85464675
1768127292,119.1922003,503.3886433,18.57652049
1768127292,123.1656023,487.1490002,18.02215747
1768127293,119.5631728,501.8267632,17.86737237
1768127293,113.2265519,529.9110413,18.23242372
1768127294,108.3917584,553.5476208,16.64855682
1768127294,103.5163729,579.618454,17.05998983
1768127295,110.3741942,543.6053276,17.68436274
1768127295,115.4067905,519.9000835,18.00566788
1768127296,115.3834028,520.0054646,18.00506739
1768127296,111.678752,537.2552872,18.02758625
1768127297,111.120735,539.9532318,17.88114239
1768127298,113.2696152,529.7095776,17.90820194
1768127298,119.2534264,503.1301975,18.18451732
1768127299,123.1158317,487.3459339,18.28857064
1768127299,127.1066049,472.0447063,18.41825315
1768127300,123.1249875,487.3096943,17.96094492
1768127300,121.876896,492.3000336,17.7354738
1768127301,122.3693113,490.3190136,17.73079599
1768127301,127.483021,470.6509113,17.81654145
1768127301,125.5816613,477.7767658,17.73985098
1768127302,121.8698135,492.3286438,17.71771717
1768127302,120.9515666,496.0663319,17.56998759
1768127303,119.3053824,502.9110909,17.45614473
1768127303,116.9410723,513.078928,17.38619245
1768127304,117.9558059,508.6650848,16.71110161
1768127304,115.8407512,517.9524422,16.62139481
1768127305,119.1255106,503.670454,16.58297659
1768127306,119.3174874,502.8600693,16.58321599
1768127306,111.5617153,537.8189087,16.7386365
1768127307,113.3280195,529.4365883,16.78140838
1768127307,115.7677453,518.2790756,16.71194663
1768127308,114.5119602,523.9627361,16.54736938
1768127308,116.9235773,513.1556988,16.43612355
1768127309,116.4619136,515.1898861,16.43744267
1768127309,123.7745857,484.7521782,16.84060408
